Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Pescados e frutos do mar;283;Cação, posta, crua;81,4;83;349;17,9;0,8;36;0,0;NA;1,2;9;19;283;0,04;181;0,2;176;299;0,13;0,3;6;6;6;0,04;Tr;Tr;1,31;
Pescados e frutos do mar;284;Camarão, Rio Grande, grande, cozido;78,7;90;377;19,0;1,0;241;0,0;NA;1,7;90;19;284;0,06;266;1,3;367;102;0,17;1,2;Tr;Tr;Tr;Tr;Tr;Tr;1,07;
Pescados e frutos do mar;285;Camarão, Rio Grande, grande, cru;89,1;47;197;10,0;0,5;124;0,0;NA;0,8;51;27;285;0,04;234;0,7;201;72;0,11;0,7;20;20;20;Tr;Tr;Tr;Tr;
Pescados e frutos do mar;286;Camarão, Sete Barbas, sem cabeça, com casca, frito;61,0;231;968;18,4;15,6;283;2,9;NA;2,1;960;74;286;0,38;337;2,4;99;107;0,19;1,1;Tr;Tr;Tr;0,05;Tr;Tr;0,35;
Pescados e frutos do mar;287;Caranguejo, cozido;77,0;83;346;18,5;0,4;85;0,0;NA;3,5;357;52;287;0,07;154;2,9;360;186;0,72;5,7;Tr;Tr;Tr;0,04;0,31;Tr;4,17;Tr
Pescados e frutos do mar;288;Corimba, cru;75,6;128;536;17,4;6,0;40;0,0;NA;1,0;40;23;288;0,02;190;0,5;47;317;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;1,87;
Pescados e frutos do mar;289;Corimbatá, assado;59,9;261;1094;19,9;19,6;80;0,0;NA;1,0;22;24;289;0,01;221;1,0;40;326;0,03;0,7;Tr;Tr;Tr;0,13;0,06;Tr;2,70;
Pescados e frutos do mar;290;Corimbatá, cozido;64,6;239;999;20,1;16,9;75;0,0;NA;0,8;65;23;290;0,02;185;0,6;37;254;0,05;1,0;Tr;Tr;Tr;Tr;Tr;Tr;2,09;
Pescados e frutos do mar;291;Corvina de água doce, crua;79,2;101;423;18,9;2,2;73;0,0;NA;1,0;39;25;291;0,02;154;0,3;45;293;0,02;0,4;8;8;8;Tr;0,08;Tr;*;
Pescados e frutos do mar;292;Corvina do mar, crua;79,4;94;392;18,6;1,6;67;0,0;NA;1,1;*;24;292;0,01;183;0,4;68;339;0,03;0,4;65;65;65;0,12;0,05;Tr;2,62;
Pescados e frutos do mar;293;Corvina grande, assada;69,0;147;613;26,8;3,6;117;0,0;NA;1,3;60;24;293;0,03;176;0,5;85;291;0,02;0,7;Tr;Tr;Tr;0,11;0,10;Tr;4,23;
Pescados e frutos do mar;294;Corvina grande, cozida;73,6;100;419;23,4;2,6;123;0,0;NA;0,9;69;22;294;0,02;164;0,6;68;194;0,03;0,7;6;6;6;Tr;0,03;Tr;0,77;
Pescados e frutos do mar;295;Dourada de água doce, fresca;76,2;131;549;18,8;5,6;52;0,0;NA;1,1;12;26;295;0,01;189;0,2;40;393;0,02;0,5;Tr;Tr;Tr;Tr;Tr;Tr;3,70;
Pescados e frutos do mar;296;Lambari, congelado, cru;71,9;131;547;16,8;6,5;159;0,0;NA;3,6;1181;45;296;0,28;696;0,9;48;244;0,09;3,3;4;4;4;0,05;Tr;Tr;3,30;
Pescados e frutos do mar;297;Lambari, congelado, frito;40,1;327;1368;28,4;22,8;246;0,0;NA;6,2;1881;66;297;0,34;1067;0,8;65;331;0,31;5,6;9;9;9;0,25;0,03;0,04;8,93;
Pescados e frutos do mar;298;Lambari, fresco, cru;72,2;152;634;15,7;9,4;144;0,0;NA;2,2;590;32;298;0,41;441;0,6;41;207;0,05;2,4;Tr;Tr;Tr;Tr;0,03;0,07;1,86;
Pescados e frutos do mar;299;Manjuba, com farinha de trigo, frita;41,3;344;1437;23,5;22,6;282;10,2;0,4;2,4;763;47;299;0,36;578;3,0;37;319;0,15;3,8;30;30;30;0,05;0,07;Tr;0,79;
Pescados e frutos do mar;300;Manjuba, frita;40,7;349;1462;30,1;24,5;270;0,0;NA;4,2;575;32;300;0,21;735;0,9;41;318;0,14;3,2;12;12;12;0,03;0,03;Tr;7,27;
Pescados e frutos do mar;301;Merluza, filé, assado;70,7;122;510;26,6;0,9;91;0,0;NA;1,2;36;20;301;0,03;273;0,4;120;364;0,03;0,9;Tr;Tr;Tr;0,05;Tr;Tr;7,97;
Pescados e frutos do mar;302;Merluza, filé, cru;82,1;89;373;16,6;2,0;57;0,0;NA;1,1;20;27;302;0,01;185;0,2;80;340;Tr;0,3;Tr;Tr;Tr;Tr;Tr;Tr;1,34;
Pescados e frutos do mar;303;Merluza, filé, frito;63,5;192;802;26,9;8,5;109;0,0;NA;1,5;36;38;303;0,02;279;0,4;90;447;0,03;0,6;Tr;Tr;Tr;0,05;Tr;Tr;0,77;
Pescados e frutos do mar;304;Pescada, branca, crua;79,6;111;464;16,3;4,6;51;0,0;NA;0,9;16;19;304;0,01;136;0,2;76;261;Tr;0,3;3;3;3;Tr;0,04;Tr;0,60;
Pescados e frutos do mar;305;Pescada, branca, frita;57,0;223;933;27,4;11,8;165;0,0;NA;3,2;378;30;305;0,06;504;0,5;107;355;0,08;1,1;39;39;39;0,08;0,11;Tr;8,07;
Pescados e frutos do mar;306;Pescada, filé, com farinha de trigo, frito;53,2;283;1186;21,4;19,1;73;5,0;Tr;1,2;26;28;306;0,07;216;0,9;91;216;0,03;0,4;18;18;18;Tr;0,03;Tr;0,60;
Pescados e frutos do mar;307;Pescada, filé, cru;79,5;107;449;16,7;4,0;65;0,0;NA;0,9;14;23;307;0,01;141;0,2;77;253;Tr;0,3;48;48;48;Tr;0,05;Tr;3,10;
Pescados e frutos do mar;308;Pescada, filé, frito;66,8;154;645;28,6;3,6;81;0,0;NA;1,7;10;21;308;Tr;204;0,3;115;249;0,03;0,6;4;4;4;0,14;Tr;Tr;8,87;
Pescados e frutos do mar;309;Pescada, filé, molho escabeche;74,5;142;594;11,8;8,0;43;5,0;0,8;0,7;20;18;309;0,08;105;1,5;51;208;0,36;0,3;19;;;Tr;0,03;Tr;1,10;6,9
Pescados e frutos do mar;310;Pescadinha, crua;80,6;76;320;15,5;1,1;84;0,0;NA;2,0;332;34;310;0,07;327;0,5;120;304;0,10;0,6;Tr;Tr;Tr;0,08;Tr;Tr;6,60;
Pescados e frutos do mar;311;Pintado, assado;57,0;192;801;36,5;4,0;126;0,0;NA;2,0;114;42;311;0,08;332;0,8;81;527;0,04;2,1;7;7;7;0,03;Tr;Tr;6,63;
Pescados e frutos do mar;312;Pintado, cru;80,3;91;381;18,6;1,3;50;0,0;NA;1,1;12;24;312;0,01;174;0,2;43;294;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;4,95;
Pescados e frutos do mar;313;Pintado, grelhado;65,5;152;637;30,8;2,3;99;0,0;NA;1,6;69;27;313;0,03;237;0,5;53;360;0,04;0,8;5;5;5;0,03;Tr;Tr;2,87;
Pescados e frutos do mar;314;Porquinho, cru;79,2;93;389;20,5;0,6;49;0,0;NA;1,3;26;24;314;0,05;207;0,4;67;313;0,04;0,7;5;5;5;Tr;Tr;Tr;1,19;
Pescados e frutos do mar;315;Salmão, filé, com pele, fresco,  grelhado;60,9;229;957;23,9;14,0;85;0,0;NA;1,3;29;28;315;0,02;300;0,5;85;384;0,04;0,6;Tr;Tr;Tr;0,13;0,06;Tr;5,35;
Pescados e frutos do mar;316;Salmão, sem pele, fresco, cru;69,0;170;710;19,3;9,7;53;0,0;NA;1,2;9;27;316;Tr;259;0,2;64;376;0,02;0,3;Tr;Tr;Tr;0,20;0,03;Tr;3,21;
Pescados e frutos do mar;317;Salmão, sem pele, fresco, grelhado;58,1;243;1015;26,1;14,5;73;0,0;NA;1,6;15;38;317;0,01;352;0,4;96;518;0,04;0,5;Tr;Tr;Tr;0,23;0,03;Tr;6,30;
Pescados e frutos do mar;318;Sardinha, assada;60,1;164;688;32,2;3,0;109;0,0;NA;4,4;438;51;318;0,24;578;1,3;74;574;0,14;1,8;Tr;Tr;Tr;0,06;Tr;Tr;5,83;
Pescados e frutos do mar;319;Sardinha, conserva em óleo;55,1;285;1192;15,9;24,0;73;0,0;NA;2,9;550;35;319;0,11;496;3,5;666;367;0,03;1,6;Tr;Tr;Tr;0,42;0,04;Tr;6,55;
Pescados e frutos do mar;320;Sardinha, frita;48,5;257;1075;33,4;12,7;103;0,0;NA;4,3;482;39;320;0,25;629;1,1;60;460;0,14;1,6;Tr;Tr;Tr;0,06;Tr;Tr;7,10;
Pescados e frutos do mar;321;Sardinha, inteira, crua;76,6;114;477;21,1;2,7;61;0,0;NA;1,6;167;29;321;0,10;294;1,3;60;312;0,13;1,3;Tr;Tr;Tr;Tr;0,07;Tr;7,70;
Pescados e frutos do mar;322;Tucunaré, filé, congelado, cru;79,9;88;367;18,0;1,2;47;0,0;NA;1,0;19;26;322;0,01;168;0,3;57;288;0,10;0,4;Tr;Tr;Tr;Tr;0,05;Tr;0,90;
